"","Ingreso","Limite","CalifCredit","Tarjetas","Edad","Educacion","Genero","Estudiante","Casado","Etnicidad","Balance"
"1",14.891,3606,283,2,34,11,"Masculino","No","1","Caucasico",333
"2",106.025,6645,483,3,82,15,"Femenino","Si","1","Asiatico",903
"3",104.593,7075,514,4,71,11,"Masculino","No","0","Asiatico",580
"4",148.924,9504,681,3,36,11,"Femenino","No","0","Asiatico",964
"5",55.882,4897,357,2,68,16,"Masculino","No","1","Caucasico",331
"6",80.18,8047,569,4,77,10,"Masculino","No","0","Caucasico",1151
"7",20.996,3388,259,2,37,12,"Femenino","No","0","Afrodescendiente",203
"8",71.408,7114,512,2,87,9,"Masculino","No","0","Asiatico",872
"9",15.125,3300,266,5,66,13,"Femenino","No","0","Caucasico",279
"10",71.061,6819,491,3,41,19,"Femenino","Si","1","Afrodescendiente",1350
"11",63.095,8117,589,4,30,14,"Masculino","No","1","Caucasico",1407
"12",15.045,1311,138,3,64,16,"Masculino","No","0","Caucasico",0
"13",80.616,5308,394,1,57,7,"Femenino","No","1","Asiatico",204
"14",43.682,6922,511,1,49,9,"Masculino","No","1","Caucasico",1081
"15",19.144,3291,269,2,75,13,"Femenino","No","0","Afrodescendiente",148
"16",20.089,2525,200,3,57,15,"Femenino","No","1","Afrodescendiente",0
"17",53.598,3714,286,3,73,17,"Femenino","No","1","Afrodescendiente",0
"18",36.496,4378,339,3,69,15,"Femenino","No","1","Asiatico",368
"19",49.57,6384,448,1,28,9,"Femenino","No","1","Asiatico",891
"20",42.079,6626,479,2,44,9,"Masculino","No","0","Asiatico",1048
"21",17.7,2860,235,4,63,16,"Femenino","No","0","Asiatico",89
"22",37.348,6378,458,1,72,17,"Femenino","No","0","Caucasico",968
"23",20.103,2631,213,3,61,10,"Masculino","No","1","Afrodescendiente",0
"24",64.027,5179,398,5,48,8,"Masculino","No","1","Afrodescendiente",411
"25",10.742,1757,156,3,57,15,"Femenino","No","0","Caucasico",0
"26",14.09,4323,326,5,25,16,"Femenino","No","1","Afrodescendiente",671
"27",42.471,3625,289,6,44,12,"Femenino","Si","0","Caucasico",654
"28",32.793,4534,333,2,44,16,"Masculino","No","0","Afrodescendiente",467
"29",186.634,13414,949,2,41,14,"Femenino","No","1","Afrodescendiente",1809
"30",26.813,5611,411,4,55,16,"Femenino","No","0","Caucasico",915
"31",34.142,5666,413,4,47,5,"Femenino","No","1","Caucasico",863
"32",28.941,2733,210,5,43,16,"Masculino","No","1","Asiatico",0
"33",134.181,7838,563,2,48,13,"Femenino","No","0","Caucasico",526
"34",31.367,1829,162,4,30,10,"Masculino","No","1","Caucasico",0
"35",20.15,2646,199,2,25,14,"Femenino","No","1","Asiatico",0
"36",23.35,2558,220,3,49,12,"Femenino","Si","0","Caucasico",419
"37",62.413,6457,455,2,71,11,"Femenino","No","1","Caucasico",762
"38",30.007,6481,462,2,69,9,"Femenino","No","1","Caucasico",1093
"39",11.795,3899,300,4,25,10,"Femenino","No","0","Caucasico",531
"40",13.647,3461,264,4,47,14,"Masculino","No","1","Caucasico",344
"41",34.95,3327,253,3,54,14,"Femenino","No","0","Afrodescendiente",50
"42",113.659,7659,538,2,66,15,"Masculino","Si","1","Afrodescendiente",1155
"43",44.158,4763,351,2,66,13,"Femenino","No","1","Asiatico",385
"44",36.929,6257,445,1,24,14,"Femenino","No","1","Asiatico",976
"45",31.861,6375,469,3,25,16,"Femenino","No","1","Caucasico",1120
"46",77.38,7569,564,3,50,12,"Femenino","No","1","Caucasico",997
"47",19.531,5043,376,2,64,16,"Femenino","Si","1","Asiatico",1241
"48",44.646,4431,320,2,49,15,"Masculino","Si","1","Caucasico",797
"49",44.522,2252,205,6,72,15,"Masculino","No","1","Asiatico",0
"50",43.479,4569,354,4,49,13,"Masculino","Si","1","Afrodescendiente",902
"51",36.362,5183,376,3,49,15,"Masculino","No","1","Afrodescendiente",654
"52",39.705,3969,301,2,27,20,"Masculino","No","1","Afrodescendiente",211
"53",44.205,5441,394,1,32,12,"Masculino","No","1","Caucasico",607
"54",16.304,5466,413,4,66,10,"Masculino","No","1","Asiatico",957
"55",15.333,1499,138,2,47,9,"Femenino","No","1","Asiatico",0
"56",32.916,1786,154,2,60,8,"Femenino","No","1","Asiatico",0
"57",57.1,4742,372,7,79,18,"Femenino","No","1","Asiatico",379
"58",76.273,4779,367,4,65,14,"Femenino","No","1","Caucasico",133
"59",10.354,3480,281,2,70,17,"Masculino","No","1","Caucasico",333
"60",51.872,5294,390,4,81,17,"Femenino","No","0","Caucasico",531
"61",35.51,5198,364,2,35,20,"Femenino","No","0","Asiatico",631
"62",21.238,3089,254,3,59,10,"Femenino","No","0","Caucasico",108
"63",30.682,1671,160,2,77,7,"Femenino","No","0","Caucasico",0
"64",14.132,2998,251,4,75,17,"Masculino","No","0","Caucasico",133
"65",32.164,2937,223,2,79,15,"Femenino","No","1","Afrodescendiente",0
"66",12,4160,320,4,28,14,"Femenino","No","1","Caucasico",602
"67",113.829,9704,694,4,38,13,"Femenino","No","1","Asiatico",1388
"68",11.187,5099,380,4,69,16,"Femenino","No","0","Afrodescendiente",889
"69",27.847,5619,418,2,78,15,"Femenino","No","1","Caucasico",822
"70",49.502,6819,505,4,55,14,"Masculino","No","1","Caucasico",1084
"71",24.889,3954,318,4,75,12,"Masculino","No","1","Caucasico",357
"72",58.781,7402,538,2,81,12,"Femenino","No","1","Asiatico",1103
"73",22.939,4923,355,1,47,18,"Femenino","No","1","Asiatico",663
"74",23.989,4523,338,4,31,15,"Masculino","No","0","Caucasico",601
"75",16.103,5390,418,4,45,10,"Femenino","No","1","Caucasico",945
"76",33.017,3180,224,2,28,16,"Masculino","No","1","Afrodescendiente",29
"77",30.622,3293,251,1,68,16,"Masculino","Si","0","Caucasico",532
"78",20.936,3254,253,1,30,15,"Femenino","No","0","Asiatico",145
"79",110.968,6662,468,3,45,11,"Femenino","No","1","Caucasico",391
"80",15.354,2101,171,2,65,14,"Masculino","No","0","Asiatico",0
"81",27.369,3449,288,3,40,9,"Femenino","No","1","Caucasico",162
"82",53.48,4263,317,1,83,15,"Masculino","No","0","Caucasico",99
"83",23.672,4433,344,3,63,11,"Masculino","No","0","Caucasico",503
"84",19.225,1433,122,3,38,14,"Femenino","No","0","Caucasico",0
"85",43.54,2906,232,4,69,11,"Masculino","No","0","Caucasico",0
"86",152.298,12066,828,4,41,12,"Femenino","No","1","Asiatico",1779
"87",55.367,6340,448,1,33,15,"Masculino","No","1","Caucasico",815
"88",11.741,2271,182,4,59,12,"Femenino","No","0","Asiatico",0
"89",15.56,4307,352,4,57,8,"Masculino","No","1","Afrodescendiente",579
"90",59.53,7518,543,3,52,9,"Femenino","No","0","Afrodescendiente",1176
"91",20.191,5767,431,4,42,16,"Masculino","No","1","Afrodescendiente",1023
"92",48.498,6040,456,3,47,16,"Masculino","No","1","Caucasico",812
"93",30.733,2832,249,4,51,13,"Masculino","No","0","Caucasico",0
"94",16.479,5435,388,2,26,16,"Masculino","No","0","Afrodescendiente",937
"95",38.009,3075,245,3,45,15,"Femenino","No","0","Afrodescendiente",0
"96",14.084,855,120,5,46,17,"Femenino","No","1","Afrodescendiente",0
"97",14.312,5382,367,1,59,17,"Masculino","Si","0","Asiatico",1380
"98",26.067,3388,266,4,74,17,"Femenino","No","1","Afrodescendiente",155
"99",36.295,2963,241,2,68,14,"Femenino","Si","0","Afrodescendiente",375
"100",83.851,8494,607,5,47,18,"Masculino","No","0","Caucasico",1311
"101",21.153,3736,256,1,41,11,"Masculino","No","0","Caucasico",298
"102",17.976,2433,190,3,70,16,"Femenino","Si","0","Caucasico",431
"103",68.713,7582,531,2,56,16,"Masculino","Si","0","Caucasico",1587
"104",146.183,9540,682,6,66,15,"Masculino","No","0","Caucasico",1050
"105",15.846,4768,365,4,53,12,"Femenino","No","0","Caucasico",745
"106",12.031,3182,259,2,58,18,"Femenino","No","1","Caucasico",210
"107",16.819,1337,115,2,74,15,"Masculino","No","1","Asiatico",0
"108",39.11,3189,263,3,72,12,"Masculino","No","0","Asiatico",0
"109",107.986,6033,449,4,64,14,"Masculino","No","1","Caucasico",227
"110",13.561,3261,279,5,37,19,"Masculino","No","1","Asiatico",297
"111",34.537,3271,250,3,57,17,"Femenino","No","1","Asiatico",47
