"Open","High","Low","Close","Volume","Adjusted"
"2016-04-01",590.48999,599.030029,588.299988,598.5,2917400,598.5
"2016-04-04",599,599.5,590.549988,593.190002,2470800,593.190002
"2016-04-05",590.77002,593.469971,585.25,586.140015,2308900,586.140015
"2016-04-06",587.52002,602.390015,587.5,602.080017,2833500,602.080017
"2016-04-07",598.76001,599.599976,589.080017,591.429993,3189000,591.429993
"2016-04-08",594.320007,597.859985,589,594.599976,2591900,594.599976
"2016-04-11",596.140015,604,594.909973,595.929993,2704300,595.929993
"2016-04-12",598.400024,604.059998,592.309998,603.169983,2636300,603.169983
"2016-04-13",607.679993,616.809998,605.289978,614.820007,4228300,614.820007
"2016-04-14",615.070007,624.380005,615.070007,620.75,3474300,620.75
"2016-04-15",621.919983,626.77002,618.109985,625.890015,2887700,625.890015
"2016-04-18",625.349976,637.640015,624.960022,635.349976,4336400,635.349976
"2016-04-19",637.140015,638.01001,620.799988,627.900024,4055900,627.900024
"2016-04-20",630,636.549988,623,632.98999,2609400,632.98999
"2016-04-21",631,637.820007,628.5,631,2596300,631
"2016-04-22",624.469971,628.25,611.559998,620.5,5083900,620.5
"2016-04-25",616.609985,626.97998,616.25,626.200012,2682900,626.200012
"2016-04-26",626.169983,626.75,614.880005,616.880005,2521400,616.880005
"2016-04-27",611.799988,615.950012,601.280029,606.570007,4068800,606.570007
"2016-04-28",615.539978,626.799988,599.200012,602,7872600,602
"2016-04-29",666,669.97998,654,659.590027,10310700,659.590027
"2016-05-02",663.919983,685.5,662.030029,683.849976,6578500,683.849976
"2016-05-03",677.359985,680.299988,670.429993,671.320007,4923400,671.320007
"2016-05-04",662.590027,674,662.140015,670.900024,4574500,670.900024
"2016-05-05",673.309998,676.48999,656,659.090027,4884100,659.090027
"2016-05-06",656.049988,676.950012,656.01001,673.950012,4365300,673.950012
"2016-05-09",673.950012,686.97998,671.409973,679.75,3982200,679.75
"2016-05-10",694,704.549988,693.5,703.070007,6087000,703.070007
"2016-05-11",705.789978,719,701.650024,713.22998,7338200,713.22998
"2016-05-12",717.380005,722.450012,711.51001,717.929993,5048200,717.929993
"2016-05-13",714.640015,719.25,706.51001,709.919983,4763400,709.919983
"2016-05-16",710.130005,713.25,700.280029,710.659973,5432900,710.659973
"2016-05-17",709.900024,714.469971,693.909973,695.27002,5121400,695.27002
"2016-05-18",689.559998,702.539978,688.76001,697.450012,4283200,697.450012
"2016-05-19",691.880005,699.400024,689.559998,698.52002,3025600,698.52002
"2016-05-20",701.049988,707.23999,700,702.799988,2916200,702.799988
"2016-05-23",704.25,706,696.419983,696.75,2579200,696.75
"2016-05-24",698.01001,707.5,698,704.200012,3033800,704.200012
"2016-05-25",708,710.859985,705.52002,708.349976,3267700,708.349976
"2016-05-26",708.330017,715,707.289978,714.909973,2436800,714.909973
"2016-05-27",715,716.599976,711.099976,712.23999,2249200,712.23999
"2016-05-31",712.330017,724.22998,711.320007,722.789978,3618300,722.789978
"2016-06-01",720.900024,726.429993,718.219971,719.440002,3263100,719.440002
"2016-06-02",720.969971,728.280029,715.5,728.23999,3020700,728.23999
"2016-06-03",726.73999,727,718.429993,725.539978,3367300,725.539978
"2016-06-06",726.5,731.5,724.419983,726.72998,2704800,726.72998
"2016-06-07",729.890015,730,720.549988,723.73999,2732500,723.73999
"2016-06-08",726.400024,729.419983,721.599976,726.640015,2223400,726.640015
"2016-06-09",723.099976,728.909973,722.299988,727.650024,2170300,727.650024
"2016-06-10",722.349976,724.97998,714.210022,717.909973,3425700,717.909973
"2016-06-13",714.01001,721.98999,711.159973,715.23999,3352200,715.23999
"2016-06-14",712.330017,720.809998,712.27002,719.299988,2506900,719.299988
"2016-06-15",722,722.559998,713.349976,714.26001,2709400,714.26001
"2016-06-16",712.049988,718,705.299988,717.51001,3098000,717.51001
"2016-06-17",718.190002,718.200012,699.179993,706.390015,5897800,706.390015
"2016-06-20",713.5,721.309998,710.809998,714.01001,3677200,714.01001
"2016-06-21",715.719971,718.400024,712.719971,715.820007,2137500,715.820007
"2016-06-22",716.580017,717,707.570007,710.599976,2260500,710.599976
"2016-06-23",715.5,722.119995,712.5,722.080017,2825000,722.080017
"2016-06-24",693,712.530029,692.200012,698.960022,7632500,698.960022
"2016-06-27",692.01001,696.820007,682.119995,691.359985,5568000,691.359985
"2016-06-28",700,708,698.169983,707.950012,4037000,707.950012
"2016-06-29",715.75,719.5,713.539978,715.599976,3070100,715.599976
