danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Dura,0.791,0.848,-3.456,0.0506,0.183,0,0.409,0.828,95,200480,4
Plug_Walk,0.876,0.519,-6.531,0.143,0.202,0,0.108,0.158,94.981,175230,4
Silence,0.52,0.761,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823,4
Solo_(feat._Demi_Lovato),0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,4
Sin_Pijama,0.791,0.745,-3.695,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560,4
Call_Out_My_Name,0.489,0.598,-4.929,0.036,0.218,0,0.35,0.172,134.045,228373,3
Taki_Taki_(with_Selena_Gomez_Ozuna_&_Cardi_B),0.841,0.798,-4.206,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4
River_(feat._Ed_Sheeran),0.748,0.749,-5.916,0.516,0.142,0,0.0713,0.659,90.09,221013,4
Rewrite_The_Stars,0.684,0.619,-7.005,0.0386,0.0716,0,0.122,0.284,125.046,217440,4
Him_&_I_(with_Halsey),0.589,0.731,-6.343,0.0868,0.0534,0,0.308,0.191,87.908,268867,4
Look_Alive_(feat._Drake),0.922,0.581,-7.495,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263,4
Rise,0.687,0.785,-4.65,0.0333,0.327,0,0.203,0.655,106.046,194408,4
Perfect,0.599,0.448,-6.312,0.0232,0.163,0,0.106,0.168,95.05,263400,3
Thunder,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4
Psycho_(feat._Ty_Dolla_$ign),0.739,0.559,-8.011,0.117,0.58,0,0.112,0.439,140.124,221440,4
no_tears_left_to_cry,0.699,0.713,-5.507,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4
Everybody_Dies_In_Their_Nightmares,0.734,0.57,-7.066,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4
Jocelyn_Flores,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
HUMBLE.,0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
In_My_Mind,0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
Nice_For_What,0.586,0.909,-6.474,0.0705,0.0891,0.000109,0.119,0.757,93.394,210747,4
Havana,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4
Dusk_Till_Dawn_-_Radio_Edit,0.258,0.437,-6.593,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000,4
Candy_Paint,0.67,0.654,-5.944,0.153,0.627,1.02e-06,0.071,0.438,180.024,227533,4
This_Is_Me,0.284,0.704,-7.276,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4
Siguelo_Bailando,0.855,0.664,-7.11,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,226800,4
I_Like_Me_Better,0.752,0.505,-7.621,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437,4
Believer,0.776,0.78,-4.374,0.128,0.0622,0,0.081,0.666,124.949,204347,4
Downtown,0.775,0.679,-4.985,0.135,0.18,7.26e-05,0.068,0.619,166.008,193456,4
Shape_of_You,0.825,0.652,-3.183,0.0802,0.581,0,0.0931,0.931,95.977,233713,4
Gods_Plan,0.754,0.449,-9.211,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
Stir_Fry,0.815,0.816,-5.474,0.269,0.00299,0,0.159,0.498,181.967,190288,4
One_Kiss_(with_Dua_Lipa),0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
Finesse_(Remix)_[feat._Cardi_B],0.704,0.859,-4.877,0.0996,0.0185,0,0.0215,0.926,105.115,217289,4
Nonstop,0.912,0.412,-8.074,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4
Mine,0.71,0.789,-3.874,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,131064,4
In_My_Feelings,0.835,0.626,-5.833,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4
Taste_(feat._Offset),0.884,0.559,-7.442,0.12,0.0236,0,0.101,0.342,97.994,232959,4
Lucid_Dreams,0.511,0.566,-7.23,0.2,0.349,0,0.34,0.218,83.903,239836,4
Promises_(with_Sam_Smith),0.781,0.768,-5.991,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4
