"FECHA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"15 ene 2016";528,74;541,3
"18 ene 2016";528,74;541,34
"19 ene 2016";528,81;541,29
"20 ene 2016";529,01;541,54
"21 ene 2016";529,01;541,56
"22 ene 2016";529,54;542,13
"25 ene 2016";529,77;542,44
"26 ene 2016";529,89;542,49
"27 ene 2016";530,09;542,78
"28 ene 2016";530,53;543,26
"29 ene 2016";531,29;543,92
"01 feb 2016";531,87;544,57
"02 feb 2016";531,99;544,65
"03 feb 2016";532,19;544,82
"04 feb 2016";532,21;544,83
"05 feb 2016";532,23;544,83
"08 feb 2016";532,08;544,74
"09 feb 2016";531,98;544,53
"10 feb 2016";531,44;544,2
"11 feb 2016";531,19;543,95
"12 feb 2016";530,24;542,98
"15 feb 2016";529,41;542,12
"16 feb 2016";529,47;542,05
"17 feb 2016";529,36;542,01
"18 feb 2016";529,59;542,16
"19 feb 2016";529,45;542,04
"22 feb 2016";529,18;541,82
"23 feb 2016";529,28;541,75
"24 feb 2016";529,17;541,77
"25 feb 2016";529,23;541,81
"26 feb 2016";529,23;541,82
"29 feb 2016";529,67;542,2
"01 mar 2016";529,68;542,22
"02 mar 2016";529,59;542,25
"03 mar 2016";529,58;542,24
"04 mar 2016";529,33;542,06
"07 mar 2016";529,43;542,09
"08 mar 2016";529,52;542,05
"09 mar 2016";529,4;542,02
"10 mar 2016";529,43;542,03
"11 mar 2016";529,07;541,7
"14 mar 2016";529,08;541,67
"15 mar 2016";528,99;541,57
"16 mar 2016";528,93;541,57
"17 mar 2016";528,94;541,54
"18 mar 2016";528,96;541,57
"21 mar 2016";528,89;541,44
"22 mar 2016";528,95;541,43
"23 mar 2016";528,86;541,45
"24 mar 2016";528,7;541,45
"28 mar 2016";528,7;541,45
"29 mar 2016";528,7;541,36
"30 mar 2016";528,77;541,59
"31 mar 2016";529,59;542,23
"01 abr 2016";529,61;542,17
"04 abr 2016";529,64;542,23
"05 abr 2016";529,98;542,44
"06 abr 2016";530,3;542,81
"07 abr 2016";530,27;542,8
"08 abr 2016";530,27;542,76
"11 abr 2016";530,2;542,72
"12 abr 2016";530,2;542,72
"13 abr 2016";530,1;542,55
"14 abr 2016";529,62;542,1
"15 abr 2016";529,43;541,79
"18 abr 2016";529,15;541,62
"19 abr 2016";529,09;541,63
"20 abr 2016";529,33;541,83
"21 abr 2016";529,33;541,87
"22 abr 2016";529,26;541,86
"25 abr 2016";529,23;541,83
"26 abr 2016";529,33;541,83
"27 abr 2016";530,01;542,65
"28 abr 2016";530,84;543,48
"29 abr 2016";531;543,62
"02 may 2016";531,49;544,03
"03 may 2016";531,4;543,95
"04 may 2016";531,19;543,73
"05 may 2016";531,2;543,71
"06 may 2016";531,17;543,69
"09 may 2016";531,14;543,65
"10 may 2016";531,18;543,61
"11 may 2016";531,15;543,65
"12 may 2016";531,03;543,48
"13 may 2016";530,81;543,3
"16 may 2016";530,77;543,34
"17 may 2016";530,76;543,21
"18 may 2016";530,83;543,38
"19 may 2016";531,07;543,64
"20 may 2016";531,09;543,63
"23 may 2016";531,02;543,65
"24 may 2016";531,32;543,86
"25 may 2016";531,67;544,39
