"FECHA";"casos_nuevos"
2020-03-06;2
2020-03-07;5
2020-03-08;3
2020-03-09;2
2020-03-10;1
2020-03-11;9
2020-03-12;1
2020-03-13;3
2020-03-14;1
2020-03-15;8
2020-03-16;6
2020-03-17;9
2020-03-18;19
2020-03-19;18
2020-03-20;26
2020-03-21;4
2020-03-22;17
2020-03-23;24
2020-03-24;19
2020-03-25;24
2020-03-26;30
2020-03-27;32
2020-03-28;32
2020-03-29;19
2020-03-30;16
2020-03-31;17
2020-04-01;28
2020-04-02;21
2020-04-03;20
2020-04-04;19
2020-04-05;19
2020-04-06;13
2020-04-07;16
2020-04-08;19
2020-04-09;37
2020-04-10;19
2020-04-11;19
2020-04-12;18
2020-04-13;17
2020-04-14;6
2020-04-15;8
2020-04-16;16
2020-04-17;7
2020-04-18;6
2020-04-19;5
2020-04-20;2
2020-04-21;7
2020-04-22;12
2020-04-23;5
2020-04-24;1
2020-04-25;6
2020-04-26;2
2020-04-27;2
2020-04-28;8
2020-04-29;8
2020-04-30;6
2020-05-01;6
2020-05-02;8
2020-05-03;6
2020-05-04;3
2020-05-05;13
2020-05-06;6
2020-05-07;4
2020-05-08;8
2020-05-09;7
2020-05-10;12
2020-05-11;9
2020-05-12;3
2020-05-13;11
2020-05-14;15
2020-05-15;13
2020-05-16;10
2020-05-17;10
2020-05-18;3
2020-05-19;16
2020-05-20;15
2020-05-21;6
2020-05-22;8
2020-05-23;7
2020-05-24;12
2020-05-25;21
2020-05-26;5
2020-05-27;28
2020-05-28;16
2020-05-29;22
2020-05-30;25
2020-05-31;9
2020-06-01;28
2020-06-02;21
2020-06-03;52
2020-06-04;37
2020-06-05;34
2020-06-06;35
2020-06-07;55
2020-06-08;24
2020-06-09;33
2020-06-10;86
2020-06-11;77
2020-06-12;74
2020-06-13;50
2020-06-14;53
2020-06-15;29
2020-06-16;52
2020-06-17;75
2020-06-18;68
2020-06-19;119
2020-06-20;69
2020-06-21;86
2020-06-22;64
2020-06-23;91
2020-06-24;147
2020-06-25;169
2020-06-26;152
2020-06-27;143
2020-06-28;151
2020-06-29;139
2020-06-30;190
2020-07-01;294
2020-07-02;270
2020-07-03;288
2020-07-04;310
2020-07-05;375
2020-07-06;245
2020-07-07;245
2020-07-08;350
2020-07-09;649
2020-07-10;360
2020-07-11;386
2020-07-12;365
2020-07-13;440
2020-07-14;446
2020-07-15;504
2020-07-16;560
2020-07-17;423
